"patent"	"inventors_country_frac"	"assignees_country_frac"	"inventors_country_mode"	"assignees_country_mode"	"name"	"date"	"year"	"forward_citations"	"generality_hhi"	"patent_cpcs"	"country"	"VoC"
"4920941"	"{'JP': 1.0}"	"{'JP': 1.0}"	"['JP']"	"['JP']"	"Fukui et al."	"1990-05-01"	"1990"	"2.0"	"0.44"	"F02D|Y02T|F02D|Y02T|F02D|Y02T"	"JP"	"CME"
"4921802"	"{'US': 1.0}"	"{'US': 1.0}"	"['US']"	"['US']"	"Hall et al."	"1990-05-01"	"1990"	"5.0"	"0.71"	"C07K|C12N|C12Q|C07K|C12N|C12Q|C07K|C12N|C12Q|C07K|C12N|C12Q|C07K|C12N|C12Q|C07K|C12N|C12Q|C07K|C12N|C12Q|C07K|C12N|C12Q|C07K|C12N|C12Q|C07K|C12N|C12Q|C07K|C12N|C12Q|C07K|C12N|C12Q"	"US"	"LME"
"4922495"	"{'US': 1.0}"	"{'US': 1.0}"	"['US']"	"['US']"	"Bobbs et al."	"1990-05-01"	"1990"	"10.0"	"0.74"	"H01S|H01S|H01S|H01S|H01S|H01S|H01S|H01S|H01S|H01S|H01S|H01S|H01S|H01S|H01S"	"US"	"LME"
"4924488"	"{'US': 1.0}"	"{'US': 1.0}"	"['US']"	"['US']"	"Kosich"	"1990-05-01"	"1990"	"204.0"	"0.81"	"H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M|H04M"	"US"	"LME"
"4927817"	"{'JP': 1.0}"	"{'JP': 1.0}"	"['JP']"	"['JP']"	"Inagaki"	"1990-05-01"	"1990"	"1.0"	"0.0"	"A61K"	"JP"	"CME"
"4930716"	"{'JP': 1.0}"	"{'JP': 1.0}"	"['JP']"	"['JP']"	"Bannai"	"1990-06-01"	"1990"	"4.0"	"0.64"	"H01R|H01R|H01R|H01R|H01R|H01R|H01R|H01R|H01R|H01R"	"JP"	"CME"
"4933858"	"{'JP': 1.0}"	"{'JP': 1.0}"	"['JP']"	"['JP']"	"Matsuda"	"1990-06-01"	"1990"	"9.0"	"0.18"	"B60T|B60T|B60T|B60T|B60T|B60T|B60T|B60T|B60T|B60T"	"JP"	"CME"
"4934831"	"{'US': 1.0}"	"{'US': 1.0}"	"['US']"	"['US']"	"Volbrecht"	"1990-06-01"	"1990"	"74.0"	"0.86"	"G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T|G01K|Y10T"	"US"	"LME"
"4942387"	"{'US': 1.0}"	"{'US': 1.0}"	"['US']"	"['US']"	"Thomas"	"1990-07-01"	"1990"	"6.0"	"0.9"	"G05B|B23Q|G05B|B23Q|G05B|B23Q|G05B|B23Q|G05B|B23Q|G05B|B23Q|G05B|B23Q|G05B|B23Q|G05B|B23Q|G05B|B23Q|G05B|B23Q|G05B|B23Q|G05B|B23Q|G05B|B23Q|G05B|B23Q|G05B|B23Q"	"US"	"LME"
"4942485"	"{'JP': 1.0}"	"{'JP': 1.0}"	"['JP']"	"['JP']"	"Umehara et al."	"1990-07-01"	"1990"	"2.0"	"0.0"	"G11B|G11B"	"JP"	"CME"
